Family,Model,Split,Level,Feature Set,MAE,MAPE,RMSE,R2
Baseline,SeasonalNaive,VAL,TOP,Lag,161544.98999988244,5.092631494805027,180858.80630577126,-0.7433965663771329
Baseline,Naive,VAL,TOP,Lag,241553.4991664895,7.513487368974703,267382.7923237725,-2.810515871335038
Baseline,SeasonalNaive,TEST,TOP,Lag,379545.28499977983,10.688271967780093,386061.5611907832,-3.444245086712539
Baseline,Naive,TEST,TOP,Lag,385997.7474998199,10.675504068356501,427235.95283351035,-4.442775993324176
Baseline,SeasonalNaive,VAL,MID,Lag,11197.737142857142,9.199159519605232,19423.180996463074,0.9789259916252621
Baseline,Naive,VAL,MID,Lag,14828.044722222221,11.467024885950744,23742.97052060175,0.9685097186766682
Baseline,SeasonalNaive,TEST,MID,Lag,21165.042301587302,14.278959166734506,29169.36168781141,0.9536121972969365
Baseline,Naive,TEST,MID,Lag,21748.985595238097,15.168959126765081,32118.10998123833,0.94375940430667
Baseline,SeasonalNaive,VAL,BOT,Lag,70.491603747876,110.10397387689103,175.28540720728898,0.4337492069670874
Baseline,Naive,VAL,BOT,Lag,63.98855354910071,97.91696448276791,160.0101879466123,0.5281406445308172
Baseline,SeasonalNaive,TEST,BOT,Lag,65.26125288544773,94.15698038335097,156.77225617042257,0.6166955042553466
Baseline,Naive,TEST,BOT,Lag,63.30828596389984,88.91997792312598,159.3411791817041,0.604030669153943
Statistical,ARIMA,VAL,TOP,Lag,279186.80075014546,8.682051146412233,308889.40841367305,-4.085374019262102
Statistical,ARIMA,TEST,TOP,Lag,410248.8539461633,11.345935577661724,454240.4692179611,-5.1525694313369135
Statistical,ARIMA,VAL,TOP,Lag + Trend + Seasonal,152971.79934236177,4.902956745486455,195397.86389990026,-1.0349628698287203
Statistical,ARIMA,TEST,TOP,Lag + Trend + Seasonal,340404.3962652272,9.523426107927637,372869.3703030094,-3.145704036541166
Statistical,ARIMA,VAL,MID,Lag,22978.116618000007,15.473223001326202,37220.18383530009,0.922613810662817
Statistical,ARIMA,TEST,MID,Lag,26268.146509452537,16.479752500108795,38362.04823435899,0.9197669089096681
Statistical,ARIMA,VAL,MID,Lag + Trend + Seasonal,11869.667066578573,9.973444533325965,18137.68349257653,0.9816231922456617
Statistical,ARIMA,TEST,MID,Lag + Trend + Seasonal,28139.592194323348,22.25911047476593,52679.97615668443,0.8486992469272988
Statistical,ARIMA,VAL,BOT,Lag,57.11260394309067,92.02440737154683,136.88725035234526,0.6546628509547887
Statistical,ARIMA,TEST,BOT,Lag,55.46200589439159,84.14716937424866,140.61258688686337,0.6916429427570101
Statistical,ARIMA,VAL,BOT,Lag + Trend + Seasonal,70.93764733744614,110.34146991618286,170.46284989753087,0.4644786505368824
Statistical,ARIMA,TEST,BOT,Lag + Trend + Seasonal,67.25920952413972,96.44511163498349,160.22757943197027,0.5996129339425144
Machine Learning,DecisionTreeRegressor,VAL,TOP,Lag,94720.66513884363,3.021123913231851,124452.08591343797,0.17449211412893173
Machine Learning,HistGradientBoostingRegressor,VAL,TOP,Lag,284820.5116663743,8.859090686438753,313104.74968554865,-4.2251189016346
Machine Learning,DecisionTreeRegressor,TEST,TOP,Lag,248563.30958312214,6.904390862813452,274301.665524304,-1.243581059380833
Machine Learning,HistGradientBoostingRegressor,TEST,TOP,Lag,595165.2474996649,16.609299013643096,622702.1520357546,-10.5623366200389
Machine Learning,DecisionTreeRegressor,VAL,TOP,"LAG + Lags: 1(RollingStd), 3(RollingMean), 6(RollingMean), 12(RollingMean+RollingMax+RollingMin+ExpandingMean)",93820.02555553052,3.007331469645054,136013.47540871188,0.01399131179742874
Machine Learning,HistGradientBoostingRegressor,VAL,TOP,"LAG + Lags: 1(RollingStd), 3(RollingMean), 6(RollingMean), 12(RollingMean+RollingMax+RollingMin+ExpandingMean)",223616.44583320981,6.968433066118244,244973.99693575667,-2.198577237413763
Machine Learning,DecisionTreeRegressor,TEST,TOP,"LAG + Lags: 1(RollingStd), 3(RollingMean), 6(RollingMean), 12(RollingMean+RollingMax+RollingMin+ExpandingMean)",264613.71958311956,7.39801864183065,286569.32057766285,-1.448748956015251
Machine Learning,HistGradientBoostingRegressor,TEST,TOP,"LAG + Lags: 1(RollingStd), 3(RollingMean), 6(RollingMean), 12(RollingMean+RollingMax+RollingMin+ExpandingMean)",414846.0974997669,11.493892170760892,453468.3924259869,-5.131672046083293
Machine Learning,DecisionTreeRegressor,VAL,MID,Lag,25053.08198412698,41.31028712667504,37437.18845547218,0.9217088116315763
Machine Learning,HistGradientBoostingRegressor,VAL,MID,Lag,23927.562353547877,26.72781121482591,47698.75811878493,0.8729073082875243
Machine Learning,DecisionTreeRegressor,TEST,MID,Lag,25163.759775132276,53.479991132367275,37113.55890319781,0.9249042854823404
Machine Learning,HistGradientBoostingRegressor,TEST,MID,Lag,29467.401666160615,34.69936603834438,45568.561609514465,0.8867910948232649
Machine Learning,DecisionTreeRegressor,VAL,MID,"LAG + Lags: 1(RollingStd), 3(RollingMean), 6(RollingMean), 12(RollingMean+RollingMax+RollingMin+ExpandingMean)",16670.294636243387,12.21198085146476,27151.977873739674,0.9588178158700272
Machine Learning,HistGradientBoostingRegressor,VAL,MID,"LAG + Lags: 1(RollingStd), 3(RollingMean), 6(RollingMean), 12(RollingMean+RollingMax+RollingMin+ExpandingMean)",28578.452291391022,29.330304985989265,58099.537316767106,0.8114390395637632
Machine Learning,DecisionTreeRegressor,TEST,MID,"LAG + Lags: 1(RollingStd), 3(RollingMean), 6(RollingMean), 12(RollingMean+RollingMax+RollingMin+ExpandingMean)",21714.543597883596,15.343064440648394,31381.536477106867,0.9463093876873664
Machine Learning,HistGradientBoostingRegressor,TEST,MID,"LAG + Lags: 1(RollingStd), 3(RollingMean), 6(RollingMean), 12(RollingMean+RollingMax+RollingMin+ExpandingMean)",23332.41171608538,14.646215621372408,42742.47931102902,0.9003976992415756
Machine Learning,DecisionTreeRegressor,VAL,BOT,Lag,77.04616198540862,168.2343066124006,178.93109961144287,0.40994980091651345
Machine Learning,HistGradientBoostingRegressor,VAL,BOT,Lag,64.47189694870598,105.54812431307748,165.44386643068867,0.4955494016422356
Machine Learning,DecisionTreeRegressor,TEST,BOT,Lag,71.86927994379994,157.54378989182123,170.88511002984364,0.5445780684808572
Machine Learning,HistGradientBoostingRegressor,TEST,BOT,Lag,63.93282917756906,93.22916747711105,179.64770604137422,0.4966745991621352
Machine Learning,DecisionTreeRegressor,VAL,BOT,"LAG + Lags: 1(RollingStd), 3(RollingMean), 6(RollingMean), 12(RollingMean+RollingMax+RollingMin+ExpandingMean)",77.84065060747584,123.65617529374533,182.10186730557484,0.38885241804269666
Machine Learning,HistGradientBoostingRegressor,VAL,BOT,"LAG + Lags: 1(RollingStd), 3(RollingMean), 6(RollingMean), 12(RollingMean+RollingMax+RollingMin+ExpandingMean)",54.99090056141219,80.1159147154454,145.49313954411755,0.6098763036610265
Machine Learning,DecisionTreeRegressor,TEST,BOT,"LAG + Lags: 1(RollingStd), 3(RollingMean), 6(RollingMean), 12(RollingMean+RollingMax+RollingMin+ExpandingMean)",74.15937873707215,107.45861123421882,177.60973274696903,0.5080295501825474
Machine Learning,HistGradientBoostingRegressor,TEST,BOT,"LAG + Lags: 1(RollingStd), 3(RollingMean), 6(RollingMean), 12(RollingMean+RollingMax+RollingMin+ExpandingMean)",56.18013696135822,72.48561514945506,164.78016286817692,0.5765371153111952
Deep Learning,NHITS,VAL,TOP,Lag,158593.24416591777,4.94611602880052,178168.87814846556,-0.6919228547438991
Deep Learning,NHITS,TEST,TOP,Lag,206355.90499872863,5.747471488186926,221787.11074203628,-0.4667546794806918
Deep Learning,NHITS,VAL,TOP,"LAG + lag1_expanding, lag7_rolling",208792.10749909547,6.484985216315936,233227.1958101219,-1.8991804490985826
Deep Learning,NHITS,TEST,TOP,"LAG + lag1_expanding, lag7_rolling",209806.67583206194,5.835415920048847,228101.65071194447,-0.5514641050476792
Deep Learning,NHITS,VAL,MID,Lag,10772.38185825893,9.542736382838884,16169.300173845399,0.985395426423142
Deep Learning,NHITS,TEST,MID,Lag,15675.363103996156,11.362865114931411,24030.541443420363,0.9685169308970653
Deep Learning,NHITS,VAL,MID,"LAG + lag1_expanding, lag7_rolling",14548.108605492002,11.431229517156506,22848.390760528462,0.9708379755918767
Deep Learning,NHITS,TEST,MID,"LAG + lag1_expanding, lag7_rolling",16017.629381742932,12.210694796366488,24421.593126364405,0.9674839387398813
Deep Learning,NHITS,VAL,BOT,Lag,54.53269103108796,81.13373313911568,135.18202713762668,0.6632130857170464
Deep Learning,NHITS,TEST,BOT,Lag,53.70360377691433,72.26373771822435,135.00520569114894,0.7157460385699852
Deep Learning,NHITS,VAL,BOT,"LAG + lag1_expanding, lag7_rolling",55.03723816780705,82.79096810311317,138.75194731177933,0.6451903089616584
Deep Learning,NHITS,TEST,BOT,"LAG + lag1_expanding, lag7_rolling",54.73373678549979,71.93425656824589,138.13229475537815,0.7024253376460475
