unique_id,ds,y
Austria,2015-01-01,22.34
Austria,2015-01-02,22.34
Austria,2015-01-03,22.34
Austria,2015-01-04,22.34
Austria,2015-01-05,36.18
Austria,2015-01-06,33.67
Austria,2015-01-07,38.59
Austria,2015-01-08,28.05
Austria,2015-01-09,24.48
Austria,2015-01-10,12.15
Austria,2015-01-11,1.49
Austria,2015-01-12,22.56
Austria,2015-01-13,24.97
Austria,2015-01-14,27.68
Austria,2015-01-15,24.76
Austria,2015-01-16,33.89
Austria,2015-01-17,31.26
Austria,2015-01-18,27.18
Austria,2015-01-19,42.75
Austria,2015-01-20,47.0
Austria,2015-01-21,44.93
Austria,2015-01-22,43.88
Austria,2015-01-23,42.26
Austria,2015-01-24,29.56
Austria,2015-01-25,28.43
Austria,2015-01-26,37.23
Austria,2015-01-27,33.21
Austria,2015-01-28,27.47
Austria,2015-01-29,26.93
Austria,2015-01-30,38.29
Austria,2015-01-31,29.78
Austria,2015-02-01,29.24
Austria,2015-02-02,42.47
Austria,2015-02-03,45.76
Austria,2015-02-04,48.49
Austria,2015-02-05,43.57
Austria,2015-02-06,39.29
Austria,2015-02-07,25.52
Austria,2015-02-08,13.33
Austria,2015-02-09,27.93
Austria,2015-02-10,44.4
Austria,2015-02-11,48.58
Austria,2015-02-12,48.15
Austria,2015-02-13,38.61
Austria,2015-02-14,32.74
Austria,2015-02-15,29.27
Austria,2015-02-16,35.63
Austria,2015-02-17,43.0
Austria,2015-02-18,43.22
Austria,2015-02-19,37.92
Austria,2015-02-20,30.91
Austria,2015-02-21,30.69
Austria,2015-02-22,32.76
Austria,2015-02-23,31.98
Austria,2015-02-24,34.8
Austria,2015-02-25,44.33
Austria,2015-02-26,37.12
Austria,2015-02-27,38.94
Austria,2015-02-28,28.81
Austria,2015-03-01,11.01
Austria,2015-03-02,26.57
Austria,2015-03-03,27.61
Austria,2015-03-04,26.21
Austria,2015-03-05,36.6
Austria,2015-03-06,40.09
Austria,2015-03-07,28.0
Austria,2015-03-08,22.82
Austria,2015-03-09,39.09
Austria,2015-03-10,37.77
Austria,2015-03-11,34.96
Austria,2015-03-12,39.37
Austria,2015-03-13,36.8
Austria,2015-03-14,31.98
Austria,2015-03-15,27.19
Austria,2015-03-16,30.86
Austria,2015-03-17,32.12
Austria,2015-03-18,36.51
Austria,2015-03-19,37.35
Austria,2015-03-20,35.3
Austria,2015-03-21,30.47
Austria,2015-03-22,26.33
Austria,2015-03-23,41.37
Austria,2015-03-24,48.2
Austria,2015-03-25,39.3
Austria,2015-03-26,40.83
Austria,2015-03-27,33.6
Austria,2015-03-28,26.4
Austria,2015-03-29,9.84
Austria,2015-03-30,18.7
Austria,2015-03-31,16.97
Austria,2015-04-01,20.68
Austria,2015-04-02,32.05
Austria,2015-04-03,24.14
Austria,2015-04-04,28.09
Austria,2015-04-05,25.26
Austria,2015-04-06,26.43
Austria,2015-04-07,36.03
Austria,2015-04-08,42.18
Austria,2015-04-09,42.25
Austria,2015-04-10,35.66
Austria,2015-04-11,19.62
Austria,2015-04-12,0.08
Austria,2015-04-13,24.07
Austria,2015-04-14,32.05
Austria,2015-04-15,27.1
Austria,2015-04-16,34.64
Austria,2015-04-17,37.35
Austria,2015-04-18,26.45
Austria,2015-04-19,23.48
Austria,2015-04-20,32.68
Austria,2015-04-21,30.2
Austria,2015-04-22,36.13
Austria,2015-04-23,34.55
Austria,2015-04-24,33.28
Austria,2015-04-25,26.2
Austria,2015-04-26,23.42
Austria,2015-04-27,35.27
Austria,2015-04-28,36.82
Austria,2015-04-29,32.33
Austria,2015-04-30,34.86
Austria,2015-05-01,23.09
Austria,2015-05-02,25.98
Austria,2015-05-03,16.15
Austria,2015-05-04,31.94
Austria,2015-05-05,26.77
Austria,2015-05-06,25.46
Austria,2015-05-07,28.78
Austria,2015-05-08,29.37
Austria,2015-05-09,15.62
Austria,2015-05-10,3.98
Austria,2015-05-11,29.49
Austria,2015-05-12,29.05
Austria,2015-05-13,26.72
Austria,2015-05-14,20.27
Austria,2015-05-15,30.59
Austria,2015-05-16,19.4
Austria,2015-05-17,13.11
Austria,2015-05-18,30.0
Austria,2015-05-19,29.27
Austria,2015-05-20,34.76
Austria,2015-05-21,34.12
Austria,2015-05-22,31.16
Austria,2015-05-23,23.98
Austria,2015-05-24,19.52
Austria,2015-05-25,24.18
Austria,2015-05-26,32.9
Austria,2015-05-27,32.2
Austria,2015-05-28,30.48
Austria,2015-05-29,30.57
Austria,2015-05-30,21.56
Austria,2015-05-31,14.75
Austria,2015-06-01,32.2
Austria,2015-06-02,21.19
Austria,2015-06-03,29.51
Austria,2015-06-04,28.14
Austria,2015-06-05,29.48
Austria,2015-06-06,23.13
Austria,2015-06-07,18.5
Austria,2015-06-08,30.71
Austria,2015-06-09,34.03
Austria,2015-06-10,32.46
Austria,2015-06-11,35.97
Austria,2015-06-12,34.97
Austria,2015-06-13,25.62
Austria,2015-06-14,18.92
Austria,2015-06-15,32.35
Austria,2015-06-16,37.36
Austria,2015-06-17,31.52
Austria,2015-06-18,32.56
Austria,2015-06-19,32.63
Austria,2015-06-20,27.59
Austria,2015-06-21,23.49
Austria,2015-06-22,33.45
Austria,2015-06-23,31.61
Austria,2015-06-24,31.12
Austria,2015-06-25,36.55
Austria,2015-06-26,36.04
Austria,2015-06-27,28.64
Austria,2015-06-28,21.94
Austria,2015-06-29,35.96
